,0
WM,0.13847509363066096
WMB,0.04911178168699894
WMT,0.11927396977618446
WRB,0.1400918677020142
WST,0.12171130623712895
WTW,0.08868335113427307
WY,0.0033327599604048193
WYNN,-0.05786763650035796
XEL,0.07736065730503466
XOM,0.03997070716022838
XYL,0.11519365871391749
YUM,0.09544946364576855
ZBH,-0.02739761529430188
ZBRA,0.09394030581891301
ZTS,0.11294205066611979
